Gene	numberofposfactors	txids	interpolyAdist
ENSG00000187634.11	2	ENST00000455979.1_ENST00000341065.8,ENST00000342066.7,ENST00000616016.4,ENST00000616125.4,ENST00000617307.4,ENST00000618181.4,ENST00000618323.4,ENST00000618779.4,ENST00000620200.4,ENST00000622503.4	322
ENSG00000187961.13	2	ENST00000622660.1_ENST00000338591.7	113
ENSG00000187583.10	3	ENST00000379407.7,ENST00000379409.6_ENST00000379410.7_ENST00000491024.1	NA
ENSG00000131591.17	3	ENST00000379319.5_ENST00000379320.5_ENST00000379339.5,ENST00000421241.6	NA
ENSG00000162571.13	2	ENST00000379288.3_ENST00000379289.5,ENST00000379290.5	12071
ENSG00000186891.13	2	ENST00000486728.5,ENST00000379265.5_ENST00000328596.10,ENST00000379268.6	333
ENSG00000160087.20	4	ENST00000360466.6,ENST00000400930.8_ENST00000400929.6_ENST00000349431.10_ENST00000347370.6	NA
ENSG00000131584.18	2	ENST00000353662.4_ENST00000354700.9	1188
ENSG00000127054.20	3	ENST00000429572.5_ENST00000450926.6_ENST00000421495.6,ENST00000419704.5,ENST00000411962.5,ENST00000540437.5,ENST00000545578.5,ENST00000618806.4,ENST00000620829.4,ENST00000435064.5	NA
ENSG00000107404.19	2	ENST00000631679.1_ENST00000378891.9,ENST00000610709.2,ENST00000378888.9	1747
ENSG00000221978.11	2	ENST00000408918.8_ENST00000408952.8,ENST00000400809.7	5793
ENSG00000242485.5	3	ENST00000482352.1_ENST00000492508.1_ENST00000344843.11	NA
ENSG00000235098.8	3	ENST00000442470.1_ENST00000454272.2_ENST00000520296.5,ENST00000537107.5,ENST00000427211.3	NA
ENSG00000179403.11	2	ENST00000338660.5_ENST00000476993.1	2117
ENSG00000205090.8	3	ENST00000624426.1_ENST00000425828.1_ENST00000378733.8	NA
ENSG00000160075.11	2	ENST00000359060.5_ENST00000291386.3	19175
ENSG00000189409.13	2	ENST00000435358.5,ENST00000503792.1_ENST00000479814.5,ENST00000356026.9,ENST00000378675.7	86
ENSG00000248333.8	3	ENST00000340677.9,ENST00000626918.2,ENST00000629289.2,ENST00000629312.2_ENST00000407249.7_ENST00000341832.10	NA
ENSG00000189339.11	2	ENST00000617444.4,ENST00000611123.1_ENST00000614300.4	1950
ENSG00000008128.22	2	ENST00000378638.6,ENST00000357760.6,ENST00000358779.9,ENST00000378633.5,ENST00000404249.7_ENST00000356200.7	151
ENSG00000215790.7	2	ENST00000643905.1_ENST00000355439.7	2546
ENSG00000178821.12	2	ENST00000378598.4_ENST00000378602.3,ENST00000310991.7	254
ENSG00000142609.18	2	ENST00000378590.4_ENST00000642590.1,ENST00000493964.5	66011
ENSG00000187730.8	5	ENST00000638771.1_ENST00000640067.1_ENST00000640949.1_ENST00000640030.1_ENST00000378585.6	NA
ENSG00000162585.16	4	ENST00000420515.1_ENST00000378543.2,ENST00000378546.8_ENST00000400918.7_ENST00000400919.7	NA
ENSG00000116151.13	4	ENST00000494279.2_ENST00000449373.2_ENST00000378529.7_ENST00000378531.7	NA
ENSG00000157916.19	3	ENST00000488353.2_ENST00000378512.5_ENST00000378513.7,ENST00000605895.5	NA
ENSG00000157911.9	2	ENST00000507596.5,ENST00000447513.6_ENST00000288774.7	855
ENSG00000149527.17	2	ENST00000278878.6_ENST00000378486.7,ENST00000419816.6,ENST00000449969.5	250
ENSG00000157873.17	3	ENST00000409119.5_ENST00000355716.4_ENST00000482602.5	NA
ENSG00000157870.14	2	ENST00000537325.5_ENST00000378427.5,ENST00000378424.8,ENST00000378425.9,ENST00000444521.6,ENST00000419916.6	1521
ENSG00000142606.15	2	ENST00000502556.5_ENST00000471840.5,ENST00000378412.7	283
ENSG00000215912.12	2	ENST00000637179.1_ENST00000401095.8	5392
ENSG00000142611.16	5	ENST00000463591.1_ENST00000509860.1_ENST00000511072.5,ENST00000514189.5_ENST00000378391.6_ENST00000270722.9	NA
ENSG00000078900.14	3	ENST00000603362.5,ENST00000604479.5,ENST00000378290.4_ENST00000354437.8,ENST00000378280.5,ENST00000378285.5_ENST00000346387.8,ENST00000357733.7,ENST00000378288.8,ENST00000378295.8,ENST00000604074.5	NA
ENSG00000235169.8	2	ENST00000561886.2_ENST00000444870.7	312
ENSG00000116198.12	4	ENST00000378223.3_ENST00000461667.1_ENST00000438539.5_ENST00000378230.7	NA
ENSG00000169598.15	2	ENST00000341385.4_ENST00000338895.7,ENST00000378209.7	1688
ENSG00000196581.10	2	ENST00000378190.7_ENST00000378191.4	14740
ENSG00000131697.17	2	ENST00000622020.4_ENST00000378156.8	16687
ENSG00000069424.14	5	ENST00000472700.6,ENST00000462676.2_ENST00000602612.5_ENST00000458166.6_ENST00000378111.5_ENST00000164247.5,ENST00000378083.7,ENST00000341524.5,ENST00000352527.5,ENST00000378097.5	NA
ENSG00000116254.17	2	ENST00000475121.1_ENST00000262450.7	3288
ENSG00000116251.9	3	ENST00000497965.5_ENST00000234875.8_ENST00000484532.5	NA
ENSG00000069812.11	5	ENST00000489730.1_ENST00000487437.5_ENST00000377834.8_ENST00000377836.8_ENST00000377837.5	NA
ENSG00000187017.16	4	ENST00000636330.1_ENST00000416731.5,ENST00000461727.6,ENST00000477679.2_ENST00000633239.1,ENST00000377828.5,ENST00000645284.1_ENST00000434576.2	NA
ENSG00000215788.9	3	ENST00000348333.7,ENST00000351748.7_ENST00000351959.9_ENST00000377782.7,ENST00000356876.7	NA
ENSG00000171680.21	2	ENST00000377725.5,ENST00000377728.7,ENST00000377732.5,ENST00000400915.7,ENST00000377740.4_ENST00000535355.5,ENST00000400913.5,ENST00000340850.9,ENST00000537245.5,ENST00000377748.5	1030
ENSG00000173662.20	3	ENST00000411823.5_ENST00000351136.7_ENST00000333172.10	NA
ENSG00000162413.16	2	ENST00000610898.1,ENST00000467612.5_ENST00000377658.8,ENST00000377663.3	2469
ENSG00000041988.15	4	ENST00000472925.1_ENST00000307896.10_ENST00000054650.8_ENST00000377627.7	NA
ENSG00000007923.15	2	ENST00000294401.11_ENST00000451196.5,ENST00000377577.9	945
ENSG00000171735.18	4	ENST00000467404.6,ENST00000473578.5_ENST00000557126.5_ENST00000490905.5,ENST00000495233.5_ENST00000303635.11	NA
ENSG00000049245.12	2	ENST00000470357.1_ENST00000054666.10	1626
ENSG00000049246.14	2	ENST00000377541.5_ENST00000613533.4,ENST00000614998.4,ENST00000361923.2,ENST00000377532.7	41219
ENSG00000049247.13	2	ENST00000361696.9_ENST00000377516.6	4531
ENSG00000049249.8	3	ENST00000474475.1_ENST00000377507.7_ENST00000615230.4	NA
ENSG00000116288.12	4	ENST00000377488.5_ENST00000377491.5_ENST00000338639.9,ENST00000377493.9,ENST00000469225.1_ENST00000493678.5	NA
ENSG00000116285.12	4	ENST00000469499.5_ENST00000467067.1_ENST00000377482.9_ENST00000474874.5	NA
ENSG00000142599.17	4	ENST00000400908.6_ENST00000476556.5_ENST00000400907.6_ENST00000377464.5,ENST00000337907.7	NA
ENSG00000131686.14	3	ENST00000480186.7_ENST00000377436.6_ENST00000377443.6	NA
ENSG00000142583.17	2	ENST00000377414.7_ENST00000377424.8	4973
ENSG00000049239.12	2	ENST00000602477.1_ENST00000377403.6	3439
ENSG00000171621.13	3	ENST00000377399.2_ENST00000357898.3_ENST00000328089.10	NA
ENSG00000188807.12	2	ENST00000340305.9_ENST00000340381.10,ENST00000416541.5	9919
ENSG00000171608.15	3	ENST00000543390.2,ENST00000361110.6_ENST00000377346.8_ENST00000536656.5,ENST00000628140.2	NA
ENSG00000178585.14	4	ENST00000377256.1_ENST00000377258.5_ENST00000400904.7_ENST00000377263.5	NA
ENSG00000162441.11	4	ENST00000377213.1_ENST00000400903.6_ENST00000377223.5_ENST00000488540.5	NA
ENSG00000173614.13	2	ENST00000403197.5_ENST00000377205.5,ENST00000496751.1	3735
ENSG00000130939.18	3	ENST00000377153.5_ENST00000253251.12_ENST00000343090.10	NA
ENSG00000054523.17	5	ENST00000377083.5_ENST00000377093.8_ENST00000635499.1_ENST00000263934.10_ENST00000620295.2,ENST00000622724.3,ENST00000377081.5,ENST00000377086.5	NA
ENSG00000251503.8	4	ENST00000602787.6_ENST00000465026.1,ENST00000470413.6_ENST00000602296.6_ENST00000400900.6	NA
ENSG00000175279.21	2	ENST00000462462.1_ENST00000309048.7	307
ENSG00000160049.11	2	ENST00000377036.2_ENST00000377038.7	5946
ENSG00000142655.12	2	ENST00000491661.2_ENST00000356607.8	7472
ENSG00000130940.14	2	ENST00000344008.5_ENST00000377022.7	10609
ENSG00000175262.14	2	ENST00000520253.1_ENST00000468348.1,ENST00000418570.6,ENST00000377004.8	257
ENSG00000120948.16	7	ENST00000638264.1_ENST00000622057.4_ENST00000616545.4,ENST00000621790.4_ENST00000617172.4,ENST00000639083.1_ENST00000610369.4_ENST00000315091.7_ENST00000240185.7	NA
ENSG00000009724.16	2	ENST00000400898.3_ENST00000400897.7	18275
ENSG00000116649.9	2	ENST00000490101.1_ENST00000376957.6	75
ENSG00000120942.13	3	ENST00000376810.5_ENST00000376804.2_ENST00000483738.1	NA
ENSG00000204624.7	2	ENST00000304391.6_ENST00000294484.6	359
ENSG00000132879.13	5	ENST00000376760.5_ENST00000376768.5_ENST00000251546.8,ENST00000376762.8_ENST00000475435.5_ENST00000471895.1,ENST00000251547.9,ENST00000376770.5	NA
ENSG00000116663.10	2	ENST00000449067.1_ENST00000376753.8	324
ENSG00000116670.14	3	ENST00000376669.9_ENST00000376672.5_ENST00000376692.8,ENST00000235310.7	NA
ENSG00000177674.15	6	ENST00000400895.6_ENST00000452018.6_ENST00000376627.6_ENST00000510878.1_ENST00000376637.7_ENST00000314340.9,ENST00000376629.8	NA
ENSG00000215910.7	2	ENST00000444493.5,ENST00000449278.1_ENST00000433342.5,ENST00000312793.9	107
ENSG00000177000.11	4	ENST00000641820.1_ENST00000641407.1_ENST00000376590.8_ENST00000376583.7,ENST00000376585.6,ENST00000376592.6	NA
ENSG00000011021.21	3	ENST00000376497.7_ENST00000376496.4_ENST00000312413.10,ENST00000346436.10	NA
ENSG00000175206.10	2	ENST00000376476.1_ENST00000376480.7,ENST00000610706.1	167
ENSG00000116685.15	3	ENST00000376576.3_ENST00000616327.1_ENST00000376572.7	NA
ENSG00000048707.14	2	ENST00000011700.10_ENST00000543766.2,ENST00000613099.4,ENST00000620676.5	1686
ENSG00000157330.9	2	ENST00000376210.3_ENST00000614859.4	2530
ENSG00000279169.2	2	ENST00000625019.2_ENST00000638454.1	415
ENSG00000182330.10	3	ENST00000614831.1_ENST00000621519.4_ENST00000357367.6	NA
ENSG00000162493.16	5	ENST00000510906.5_ENST00000475043.5_ENST00000513143.5_ENST00000376061.8_ENST00000617617.4,ENST00000294489.10,ENST00000376057.8,ENST00000621990.4	NA
ENSG00000116731.22	5	ENST00000343137.8_ENST00000311066.9,ENST00000413440.5_ENST00000505823.5_ENST00000503842.5_ENST00000376048.9,ENST00000235372.11	NA
ENSG00000189337.16	4	ENST00000636564.1_ENST00000400797.3,ENST00000503743.5_ENST00000361144.9,ENST00000400798.6_ENST00000376030.6,ENST00000636203.1	NA
ENSG00000171729.13	3	ENST00000376014.7_ENST00000434578.6,ENST00000400796.7_ENST00000428417.5,ENST00000376008.2	NA
ENSG00000142621.19	6	ENST00000375995.3_ENST00000375997.8_ENST00000444385.5_ENST00000375998.8_ENST00000529606.5_ENST00000314668.13,ENST00000358897.8	NA
ENSG00000142634.12	2	ENST00000445566.1_ENST00000375980.8	1262
ENSG00000162438.11	2	ENST00000375949.4_ENST00000375943.6	2588
ENSG00000132906.17	4	ENST00000375890.8_ENST00000424908.5_ENST00000333868.9,ENST00000348549.9_ENST00000546424.5	NA
ENSG00000116138.12	3	ENST00000375838.5_ENST00000616884.4,ENST00000375847.7_ENST00000375849.5	NA
ENSG00000162458.12	3	ENST00000441801.6_ENST00000332305.5_ENST00000375766.7,ENST00000375771.5	NA
ENSG00000173641.17	3	ENST00000406363.2_ENST00000463576.5,ENST00000487046.1_ENST00000411503.5,ENST00000311890.13,ENST00000375718.4	NA
ENSG00000142632.16	2	ENST00000441785.1_ENST00000270747.7	7745
ENSG00000055070.16	2	ENST00000471507.5_ENST00000401088.8,ENST00000492354.1,ENST00000401089.3	2739
ENSG00000187144.11	4	ENST00000612240.1_ENST00000375577.5_ENST00000540400.1,ENST00000335496.5_ENST00000491418.5	NA
ENSG00000157191.19	3	ENST00000504551.6_ENST00000457722.6_ENST00000443980.6,ENST00000337132.9	NA
ENSG00000219481.10	2	ENST00000432949.5_ENST00000430580.6	1699
ENSG00000159363.17	2	ENST00000617114.4_ENST00000502418.1,ENST00000326735.12,ENST00000341676.9,ENST00000452699.5	9901
ENSG00000117115.12	2	ENST00000375481.1_ENST00000375486.8	12270
ENSG00000159339.13	2	ENST00000375453.5_ENST00000375448.4	29208
ENSG00000179051.13	2	ENST00000375433.3_ENST00000375436.8	1916
ENSG00000074964.16	2	ENST00000375415.5_ENST00000375408.7,ENST00000361221.7	220
ENSG00000009709.11	3	ENST00000400661.3_ENST00000375375.7_ENST00000420770.6	NA
ENSG00000159423.16	2	ENST00000538309.5_ENST00000538839.5,ENST00000290597.9,ENST00000375341.7	1301
ENSG00000169991.10	3	ENST00000416166.1_ENST00000355609.8_ENST00000455833.6	NA
ENSG00000127481.14	2	ENST00000375218.3_ENST00000375225.7,ENST00000375224.1,ENST00000375254.7	37134
ENSG00000127463.14	4	ENST00000486405.1_ENST00000375208.7_ENST00000375199.7_ENST00000477853.5	NA
ENSG00000053371.12	3	ENST00000489286.5_ENST00000330072.9_ENST00000235835.7	NA
ENSG00000040487.12	2	ENST00000432465.1_ENST00000375153.7,ENST00000375155.7,ENST00000400548.6	1219
ENSG00000077549.17	3	ENST00000433834.5_ENST00000375142.5_ENST00000375144.5,ENST00000264203.7	NA
ENSG00000158747.14	3	ENST00000289749.6_ENST00000602662.1_ENST00000375136.7,ENST00000548815.2,ENST00000615215.4,ENST00000618761.4,ENST00000621723.4,ENST00000622566.4	NA
ENSG00000162542.13	2	ENST00000375127.5_ENST00000294543.10	27
ENSG00000117215.14	2	ENST00000617227.1_ENST00000375105.7	718
ENSG00000187980.6	2	ENST00000247992.5_ENST00000429261.2	2738
ENSG00000158816.15	2	ENST00000375079.6_ENST00000289815.12	631
ENSG00000189410.11	2	ENST00000444387.6_ENST00000375031.5	1796
ENSG00000127483.17	2	ENST00000375000.5_ENST00000375003.6,ENST00000312239.9	32994
ENSG00000075151.20	5	ENST00000356916.7_ENST00000634879.1_ENST00000400422.6_ENST00000264211.12,ENST00000602326.5_ENST00000374935.7	NA
ENSG00000117298.14	5	ENST00000264205.10_ENST00000436918.6_ENST00000374893.10_ENST00000357071.8_ENST00000415912.6	NA
ENSG00000142794.18	3	ENST00000619554.1_ENST00000454000.6_ENST00000318249.9,ENST00000342104.9	NA
ENSG00000162551.13	4	ENST00000374830.2_ENST00000374832.5_ENST00000540617.5_ENST00000539907.5,ENST00000374840.7	NA
ENSG00000076864.19	2	ENST00000495204.5_ENST00000374763.6,ENST00000374761.6,ENST00000542643.6,ENST00000374765.8,ENST00000290101.8	793
ENSG00000090686.15	4	ENST00000421625.6_ENST00000374732.7_ENST00000308271.13_ENST00000400301.5	NA
ENSG00000187942.11	2	ENST00000543870.1_ENST00000344642.6	1258
ENSG00000142798.18	2	ENST00000374676.4_ENST00000374695.7	13164
ENSG00000219073.7	2	ENST00000337107.10_ENST00000400277.2	9298
ENSG00000142789.19	2	ENST00000374663.1_ENST00000290122.7	6454
ENSG00000070831.15	2	ENST00000315554.12_ENST00000400259.5,ENST00000344548.7	2142
ENSG00000162552.14	2	ENST00000415567.1_ENST00000290167.10	9733
ENSG00000070886.11	2	ENST00000374644.8_ENST00000166244.7	13973
ENSG00000159189.11	2	ENST00000374637.1_ENST00000374639.7,ENST00000374640.8	223
ENSG00000133216.16	4	ENST00000544305.5_ENST00000374630.7,ENST00000374627.1_ENST00000374632.7_ENST00000400191.7	NA
ENSG00000169641.13	2	ENST00000314174.5_ENST00000418342.5,ENST00000302291.8	6397
ENSG00000125944.19	4	ENST00000427764.3_ENST00000606561.5_ENST00000302271.10,ENST00000374616.7,ENST00000374612.5_ENST00000478691.5	NA
ENSG00000125945.14	2	ENST00000374608.3_ENST00000314011.8	527
ENSG00000204219.9	3	ENST00000374601.7_ENST00000476978.1_ENST00000450454.6	NA
ENSG00000088280.18	3	ENST00000437606.6_ENST00000465372.5_ENST00000495646.5,ENST00000336689.7,ENST00000618240.4	NA
ENSG00000011007.12	2	ENST00000609199.1_ENST00000613537.4,ENST00000418390.6	2166
ENSG00000011009.10	5	ENST00000374505.6_ENST00000374502.7_ENST00000374503.7_ENST00000374501.1_ENST00000374514.7	NA
ENSG00000189266.11	2	ENST00000374468.1_ENST00000334351.7	1582
ENSG00000188529.14	7	ENST00000492112.2_ENST00000343255.9_ENST00000374453.7_ENST00000374452.9_ENST00000484146.6_ENST00000453840.7_ENST00000344989.10	NA
ENSG00000185436.11	5	ENST00000374418.3_ENST00000374419.1_ENST00000374421.7_ENST00000327575.6_ENST00000327535.5	NA
ENSG00000158055.15	2	ENST00000356046.6,ENST00000361548.8_ENST00000350501.9	9164
ENSG00000001460.17	3	ENST00000435187.1_ENST00000438866.1_ENST00000003583.12,ENST00000337248.8,ENST00000374409.5	NA
ENSG00000001461.16	5	ENST00000358028.8_ENST00000339255.2_ENST00000432012.1_ENST00000374399.8_ENST00000003912.7	NA
ENSG00000117602.11	4	ENST00000374393.4_ENST00000412742.5,ENST00000425530.3,ENST00000630217.1_ENST00000436717.6,ENST00000538532.5,ENST00000610732.4,ENST00000616511.4,ENST00000618490.4_ENST00000374395.8	NA
ENSG00000133226.16	2	ENST00000374389.8_ENST00000447431.6,ENST00000323848.13	641
ENSG00000020633.18	2	ENST00000338888.3_ENST00000308873.10,ENST00000399916.5	1518
ENSG00000117614.9	2	ENST00000354361.3_ENST00000236273.8	286
ENSG00000117616.17	2	ENST00000431849.3_ENST00000243189.11	1835
ENSG00000187010.19	2	ENST00000342055.9,ENST00000357542.8,ENST00000417538.6,ENST00000423810.6,ENST00000454452.6,ENST00000568195.5_ENST00000328664.8,ENST00000622561.4	1234
ENSG00000188672.18	3	ENST00000527747.5,ENST00000346452.8_ENST00000340849.8,ENST00000349320.7_ENST00000294413.12	NA
ENSG00000117643.14	2	ENST00000263979.7,ENST00000374329.1_ENST00000611903.4,ENST00000374332.8	1757
ENSG00000117640.17	3	ENST00000526894.5_ENST00000524618.5_ENST00000466284.1,ENST00000374300.7,ENST00000374301.7,ENST00000374307.9,ENST00000374303.6,ENST00000474295.5	NA
ENSG00000127423.10	2	ENST00000374298.3_ENST00000538789.5	2093
ENSG00000117632.22	4	ENST00000374291.5_ENST00000357865.6_ENST00000399728.5,ENST00000455785.6_ENST00000426559.6	NA
ENSG00000158006.13	2	ENST00000374284.5_ENST00000374282.7	1003
ENSG00000158014.14	2	ENST00000374276.3_ENST00000374278.7	770
ENSG00000175087.9	2	ENST00000374269.1_ENST00000619836.4,ENST00000374271.8	1510
ENSG00000282872.1	2	ENST00000635463.1_ENST00000634842.1	1547
ENSG00000236782.6	2	ENST00000433939.6_ENST00000448923.2	809
ENSG00000142675.17	2	ENST00000531191.5_ENST00000374253.9,ENST00000361530.10	40
ENSG00000130695.14	3	ENST00000640292.1_ENST00000453146.1,ENST00000252992.8_ENST00000451429.6	NA
ENSG00000142669.14	2	ENST00000319041.6_ENST00000270792.9	72
ENSG00000158062.20	2	ENST00000374223.5,ENST00000357089.8,ENST00000374221.7,ENST00000374217.6,ENST00000374222.5_ENST00000314675.11	956
ENSG00000176092.15	2	ENST00000308182.9_ENST00000475866.3	161
ENSG00000117682.16	7	ENST00000374185.7_ENST00000427245.6_ENST00000416052.1_ENST00000526219.5_ENST00000525682.6_ENST00000236342.11_ENST00000360009.6,ENST00000431933.5	NA
ENSG00000117676.13	4	ENST00000531382.5_ENST00000526792.5_ENST00000438977.1_ENST00000374166.8,ENST00000530003.5,ENST00000374168.6	NA
